1,0.3271,0.4412,1.7765,1.7691
2,0.6952,0.4412,1.7033,1.7178
3,0.7323,0.4412,1.6324,1.6679
4,0.7323,0.4559,1.5599,1.614
5,0.7435,0.4559,1.4903,1.5583
6,0.7546,0.4559,1.4089,1.5019
7,0.7658,0.4559,1.3184,1.4395
8,0.7807,0.4559,1.238,1.3721
9,0.77,0.4559,1.1455,1.3073
10,0.7918,0.4559,1.0595,1.243
11,0.8178,0.4559,0.9726,1.176
12,0.8104,0.4559,0.889,1.1034
13,0.8401,0.4559,0.8116,1.0317
14,0.8401,0.9853,0.7408,0.9606
15,0.855,0.9853,0.667,0.8929
16,0.8736,1,0.6178,0.8295
17,0.881,1,0.56,0.7627
18,0.8922,1,0.5095,0.7033
19,0.8959,1,0.4636,0.6413
20,0.8959,1,0.4257,0.582
21,0.8959,1,0.3844,0.5325
22,0.8996,1,0.3484,0.482
23,0.9071,1,0.3146,0.4331
24,0.9554,1,0.2865,0.3883
25,0.974,1,0.2615,0.347
